id,age,gender,path
f01403_1,18,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01403_1.png
f01519_1,na,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01519_1.png
f01478_1,26,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01478_1.png
f01435_1,26,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01435_1.png
f01420_1,29,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01420_1.png
f01543_1,20,F,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01543_1.png
f01361_1,24,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01361_1.png
f01365_1,25,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01365_1.png
f01428_1,33,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01428_1.png
f01459_1,17,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01459_1.png
f01506_1,20,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01506_1.png
f01409_1,42,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01409_1.png
f01491_1,23,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01491_1.png
f01487_1,30,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01487_1.png
f01503_1,21,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01503_1.png
f01502_1,14,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01502_1.png
f01528_1,34,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01528_1.png
f01450_1,19,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01450_1.png
f01537_1,45,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01537_1.png
f01545_1,17,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01545_1.png
f01464_1,27,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01464_1.png
f01378_1,26,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01378_1.png
f01418_1,45,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01418_1.png
f01529_1,25,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01529_1.png
f01476_1,22,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01476_1.png
f01514_1,22,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01514_1.png
f01397_1,17,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01397_1.png
f01517_1,18,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01517_1.png
f01358_1,22,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01358_1.png
f01384_1,27,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01384_1.png
f01369_1,45,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01369_1.png
f01379_1,18,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01379_1.png
f01535_1,27,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01535_1.png
f01451_1,19,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01451_1.png
f01510_1,62,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01510_1.png
f01380_1,50,F,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01380_1.png
f01377_1,20,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01377_1.png
f01475_1,25,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01475_1.png
f01395_1,28,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01395_1.png
f01421_1,26,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01421_1.png
f01430_1,18,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01430_1.png
f01427_1,17,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01427_1.png
f01390_1,17,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01390_1.png
f01467_1,54,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01467_1.png
f01440_1,13,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01440_1.png
f01354_1,38,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01354_1.png
f01362_1,21,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01362_1.png
f01417_1,22,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01417_1.png
f01439_1,17,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01439_1.png
f01471_1,22,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01471_1.png
f01523_1,20,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01523_1.png
f01472_1,30,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01472_1.png
f01468_1,21,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01468_1.png
f01375_1,22,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01375_1.png
f01383_1,37,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01383_1.png
f01360_1,17,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01360_1.png
f01441_1,25,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01441_1.png
f01357_1,27,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01357_1.png
f01470_1,25,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01470_1.png
f01513_1,20,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01513_1.png
f01480_1,40,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01480_1.png
f01389_1,19,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01389_1.png
